Experiment,Accuracy,Precision,Recall,F1-Score
BoW_MultinomialNB,0.97847533632287,0.9562043795620438,0.8791946308724832,0.916083916083916
TFIDF_MultinomialNB,0.9650224215246637,0.9910714285714286,0.7449664429530202,0.8505747126436781
BoW_GaussianNB,0.8807174887892377,0.532520325203252,0.8791946308724832,0.6632911392405063
TFIDF_GaussianNB,0.8771300448430494,0.525,0.8456375838926175,0.6478149100257069
